"代號 ▲","名稱","成交","16Q3EPS(元)","16Q4EPS(元)","17Q1EPS(元)","17Q2EPS(元)"
="2392","正崴","48.2","0.45","1.03","0.19","0.74"
="2393","億光","48.6","1.04","1.05","0.71","0.85"
="2395","研華","205","2.32","2.25","1.9","2.47"
="2397","友通","63.6","1.03","1.08","0.68","1.1"
="2399","映泰","13.35","-0.26","0.04","-0.2","0.46"
="2401","凌陽","18.1","0.07","0.09","0.54","0.05"
="2402","毅嘉","16.45","0.06","0.37","-0.29","-0.29"
="2404","漢唐","53.2","1.77","1.73","0.78","1.55"
="2405","浩鑫","16.45","0.12","-0.22","-0.24","0.15"
="2406","國碩","18.5","-0.45","-0.4","-0.73","-4.4"
="2408","南亞科","82.7","0.51","7.34","1.19","2.36"
="2409","友達","12.3","0.51","0.93","0.98","1.02"
="2412","中華電","103.5","1.23","1","1.24","1.35"
="2413","環科","18.75","0.07","-0.28","-0.65","0.23"
="2414","精技","20.1","0.4","0.27","0.43","0.38"
="2415","錩新","26.75","0.96","0.66","0.14","0.3"
="2417","圓剛","15.35","-0.1","-0.02","-0.19","-0.09"
="2419","仲琦","23.7","0.39","0.85","0.07","0.47"
="2420","新巨","36.2","0.68","1.32","0.15","1.02"
="2421","建準","61","0.71","0.82","0.51","0.83"
="2423","固緯","24.55","0.4","0.48","0.51","0.73"
="2424","隴華","26.9","-0.58","-0.24","-0.9","-0.19"
="2425","承啟","16.7","0.1","0.48","-0.64","0.12"
="2426","鼎元","14.35","0.07","0.56","-0.19","0.32"
="2427","三商電","9.93","0.1","0.06","0.05","0.12"
="2428","興勤","88.1","2.45","1.88","1.61","3"
="2429","銘旺科","13.25","0","-0.26","-0.41","-0.44"
="2430","燦坤","22.75","0.64","0.47","0.51","0.2"
="2431","聯昌","17.35","0.2","0.37","0.05","0.06"
="2433","互盛電","43.75","1.43","0.49","1.15","0.56"
="2434","統懋","10.4","-0.33","0.12","-0.46","-0.22"
="2436","偉詮電","30.45","0.31","0.12","0.02","0.23"
="2438","翔耀","7.49","-0.01","-0.02","0.1","-0.3"
="2439","美律","217","5.01","4.03","1.74","2.89"
="2440","太空梭","10.65","0.09","0.1","0.08","0.1"
="2441","超豐","53.6","1.02","1.05","1.05","1.03"
="2442","新美齊","7.84","0.19","0.18","-0.08","0.02"
="2443","新利虹","6.69","-0.42","-0.34","-0.39","-0.45"
="2444","友旺","38","0.08","-0.08","-0.15","0.2"
="2448","晶電","58.3","0","-0.15","-0.26","0.69"
="2449","京元電子","30.25","0.75","0.56","0.48","0.5"
="2450","神腦","52","1.09","1.02","0.62","1"
="2451","創見","84.5","1.1","2.37","1.33","1.8"
="2453","凌群","13.55","0.04","0.36","0.19","0.1"
="2454","聯發科","326","4.98","3.23","4.29","1.51"
="2455","全新","74","0.41","0.28","0.41","0.65"
="2456","奇力新","102","1.61","1.38","1.11","1.58"
="2457","飛宏","12.65","-0.21","0.52","0.1","0.02"
="2458","義隆","49.25","0.58","0.39","0.34","0.7"
="2459","敦吉","43.8","1.26","0.86","1.01","0.92"
="2460","建通","13.3","0.09","0.15","-0.11","-0.08"
="2461","光群雷","17.4","0.46","0.73","0.05","0.25"
="2462","良得電","34.3","0.28","0.74","-0.26","0.2"
="2464","盟立","44.25","0.42","0.86","-0.25","0.86"
="2465","麗臺","17.9","-0.26","-0.86","0.81","-0.08"
="2466","冠西電","37.65","-0.08","0.27","-0.3","0.02"
="2467","志聖","28.25","0.42","0.35","0.28","0.89"
="2468","華經","11.5","0.1","0.23","0.09","0.15"
="2471","資通","15.35","0.47","1.21","-0.64","0.51"
="2472","立隆電","51.5","0.64","0.97","0.12","1.01"
="2474","可成","337.5","5.8","12.37","2.71","5.31"
="2475","華映","2.61","0.02","0.1","0.26","0.18"
="2476","鉅祥","25.95","0.63","0.88","0.16","0.54"
="2477","美隆電","31.2","0.38","0.54","0.37","0.36"
="2478","大毅","24.35","0.24","0.29","0.19","0.19"
="2480","敦陽科","34.8","0.72","0.5","0.55","0.6"
="2481","強茂","29","0.4","0.41","0.34","0.55"
="2482","連宇","12.9","-0.01","0.1","-0.49","-0.18"
="2483","百容","26.75","0.34","0.58","0","0.4"
="2484","希華","20.55","0.27","0.63","0.09","0.37"
="2485","兆赫","29.6","0.17","0.44","-0.42","0.28"
="2486","一詮","11.15","-0.06","-0.18","-0.43","0.05"
="2488","漢平","31.8","1.49","1.67","0.51","0.58"
="2489","瑞軒","15.45","0.31","0.01","-0.63","-0.42"
="2491","吉祥全","6.85","-0.15","0.09","-0.02","0.57"
="2492","華新科","77.5","1.22","1.06","0.77","0.86"
="2493","揚博","26.4","0.78","0.57","0.28","0.77"
="2495","普安","14.05","0.2","0.56","-0.03","0.07"
="2496","卓越","168.5","0.01","3.65","2.22","2.5"
="2497","怡利電","29.7","-0.14","0.05","-0.31","-0.14"
="2498","宏達電","66.7","-2.18","-3.75","-2.47","-2.37"
="2499","東貝","11.8","0.02","-1.54","-0.44","0.02"
="2501","國建","16.8","0.47","0.75","0.57","0.14"
="2504","國產","9.05","-0.22","-2.76","1.99","0.05"
="2505","國揚","13.15","-0.13","0.19","0.11","0.36"
="2506","太設","10.2","0.42","-0.33","0.24","-0.13"
="2509","全坤建","21.9","-0.02","-0.08","-0.07","-0.02"
="2511","太子","11.1","0.11","0.68","0.09","0.14"
="2514","龍邦","15","0.93","-0.06","0.3","1.29"
="2515","中工","6.9","0.11","0.05","0.02","0.08"
="2516","新建","6.48","0.61","-0.6","-0.17","-0.99"
="2520","冠德","19.2","0.54","0.16","0.14","0.21"
